fluid,temp_c,glycol_pct,density_kg_per_l,cp_kj_per_kgk,viscosity_mpas,thermal_cond_w_mk,prandtl,source,basis_tag
water,5,0,1.0003,4.186,1.508,0.578,10.92,IAPWS-class fit (cdu-engine waterProps),STANDARD
water,10,0,0.9998,4.186,1.305,0.586,9.32,IAPWS-class fit (cdu-engine waterProps),STANDARD
water,15,0,0.9991,4.186,1.140,0.595,8.03,IAPWS-class fit (cdu-engine waterProps),STANDARD
water,20,0,0.9983,4.186,1.005,0.602,6.99,IAPWS-class fit (cdu-engine waterProps),STANDARD
water,25,0,0.9973,4.186,0.893,0.610,6.13,IAPWS-class fit (cdu-engine waterProps),STANDARD
water,30,0,0.9961,4.186,0.800,0.617,5.43,IAPWS-class fit (cdu-engine waterProps),STANDARD
water,35,0,0.9948,4.186,0.721,0.624,4.84,IAPWS-class fit (cdu-engine waterProps),STANDARD
water,40,0,0.9933,4.186,0.653,0.630,4.34,IAPWS-class fit (cdu-engine waterProps),STANDARD
water,45,0,0.9916,4.186,0.595,0.636,3.92,IAPWS-class fit (cdu-engine waterProps),STANDARD
water,50,0,0.9897,4.186,0.546,0.642,3.56,IAPWS-class fit (cdu-engine waterProps),STANDARD
water,55,0,0.9877,4.186,0.502,0.648,3.25,IAPWS-class fit (cdu-engine waterProps),STANDARD
water,60,0,0.9855,4.186,0.464,0.653,2.98,IAPWS-class fit (cdu-engine waterProps),STANDARD
pg25,5,25,1.0243,3.788,3.046,0.374,30.86,ASHRAE HoF 2021 ch.31 (engine pg25Props),ILLUSTRATIVE
pg25,10,25,1.0238,3.788,2.636,0.379,26.32,ASHRAE HoF 2021 ch.31 (engine pg25Props),ILLUSTRATIVE
pg25,15,25,1.0231,3.788,2.304,0.385,22.68,ASHRAE HoF 2021 ch.31 (engine pg25Props),ILLUSTRATIVE
pg25,20,25,1.0222,3.788,2.031,0.390,19.74,ASHRAE HoF 2021 ch.31 (engine pg25Props),ILLUSTRATIVE
pg25,25,25,1.0212,3.788,1.805,0.395,17.33,ASHRAE HoF 2021 ch.31 (engine pg25Props),ILLUSTRATIVE
pg25,30,25,1.0200,3.788,1.616,0.399,15.33,ASHRAE HoF 2021 ch.31 (engine pg25Props),ILLUSTRATIVE
pg25,35,25,1.0186,3.788,1.456,0.404,13.66,ASHRAE HoF 2021 ch.31 (engine pg25Props),ILLUSTRATIVE
pg25,40,25,1.0171,3.788,1.320,0.408,12.26,ASHRAE HoF 2021 ch.31 (engine pg25Props),ILLUSTRATIVE
pg25,45,25,1.0154,3.788,1.203,0.412,11.07,ASHRAE HoF 2021 ch.31 (engine pg25Props),ILLUSTRATIVE
pg25,50,25,1.0135,3.788,1.102,0.416,10.05,ASHRAE HoF 2021 ch.31 (engine pg25Props),ILLUSTRATIVE
pg25,55,25,1.0114,3.788,1.014,0.419,9.17,ASHRAE HoF 2021 ch.31 (engine pg25Props),ILLUSTRATIVE
pg25,60,25,1.0092,3.788,0.938,0.422,8.41,ASHRAE HoF 2021 ch.31 (engine pg25Props),ILLUSTRATIVE
